Name,Latitude,Longitude,Type,Zone,Description
Acton Town Station,51.502749773000570000,-.280251203536110600,tfl,3,Acton Town Station [25 mins]
Alperton Station,51.540694766293470000,-.299486538678611470,tfl,4,Alperton Station [32 mins]
Archway Station,51.565426754533750000,-.135113518210335370,tfl,2|3,Archway Station [31 mins]
Arnos Grove Station,51.616340261056756000,-.133516309581780070,tfl,4,Arnos Grove Station [47 mins]
Balham Station,51.443328979635250000,-.153207552666472820,tfl,3,Balham Station [28 mins]
Barking Station,51.539451208515715000,.080863182849410430,tfl,4,Barking Station [48 mins]
Barkingside Station,51.585785960390545000,.088511013821779280,tfl,4,Barkingside Station [56 mins]
Becontree Station,51.540288535204700000,.127400321155280580,tfl,5,Becontree Station [52 mins]
Blackhorse Road Station,51.586951195438930000,-.040996340920370744,tfl,3,Blackhorse Road Station [29 mins]
Boston Manor Station,51.495696382188164000,-.324763573796374050,tfl,4,Boston Manor Station [28 mins]
Bounds Green Station,51.607090556952755000,-.124218963208536690,tfl,3|4,Bounds Green Station [44 mins]
Brent Cross Station,51.576800471443870000,-.213455833755365300,tfl,3,Brent Cross Station [39 mins]
Buckhurst Hill Station,51.626517330409435000,.046743856240495990,tfl,5,Buckhurst Hill Station [53 mins]
Burnt Oak Station,51.602681099702550000,-.264198758145630100,tfl,4,Burnt Oak Station [50 mins]
Canning Town Station,51.513837129289570000,.008171036532588041,tfl,2|3,Canning Town Station [30 mins]
Canons Park Station,51.607759515215320000,-.294653740878426550,tfl,5,Canons Park Station [47 mins]
Chiswick Park Station,51.494300591745144000,-.267746873913726140,tfl,3,Chiswick Park Station [21 mins]
Chorleywood Station,51.654217860774500000,-.518365989763054100,tfl,7,Chorleywood Station [59 mins]
Clapham South Station,51.452599834714476000,-.147982098639174410,tfl,2|3,Clapham South Station [33 mins]
Cockfosters Station,51.651687534574954000,-.149614715155877680,tfl,5,Cockfosters Station [57 mins]
Colliers Wood Station,51.418071885122640000,-.177700936628786360,tfl,3,Colliers Wood Station [40 mins]
Croxley Station,51.647046338116360000,-.441710992609101700,tfl,7,Croxley Station [58 mins]
Dagenham East Station,51.544116734223610000,.165874869677022780,tfl,5,Dagenham East Station [57 mins]
Dagenham Heathway Station,51.541627413616190000,.147684194913217710,tfl,5,Dagenham Heathway Station [56 mins]
Debden Station,51.645434322048956000,.083837809879712370,tfl,6,Debden Station [58 mins]
Dollis Hill Station,51.551903559056100000,-.238797558508156870,tfl,3,Dollis Hill Station [35 mins]
Ealing Broadway Station,51.514913033739160000,-.301500096369187100,tfl,3,Ealing Broadway Station [32 mins]
Ealing Common Station,51.510124738537850000,-.288260381056999100,tfl,3,Ealing Common Station [28 mins]
East Finchley Station,51.587271719132026000,-.164738305623223720,tfl,3,East Finchley Station [36 mins]
East Ham Station,51.538926036547580000,.051475548835470040,tfl,3|4,East Ham Station [43 mins]
East Putney Station,51.458804746350000000,-.211003174222271470,tfl,2|3,East Putney Station [17 mins]
Eastcote Station,51.576493044501650000,-.396844627186990200,tfl,5,Eastcote Station [46 mins]
Edgware Station,51.613623079849460000,-.274976006045290200,tfl,5,Edgware Station [50 mins]
Fairlop Station,51.595680931861040000,.090929226191151620,tfl,4,Fairlop Station [59 mins]
Finchley Central Station,51.600976420785250000,-.192447107072110800,tfl,4,Finchley Central Station [40 mins]
Gants Hill Station,51.576487548031560000,.066115533982912160,tfl,4,Gants Hill Station [52 mins]
Golders Green Station,51.572221393232800000,-.193993261252232000,tfl,3,Golders Green Station [37 mins]
Greenford Station,51.542302026759124000,-.346444146567460000,tfl,4,Greenford Station [44 mins]
Hampstead Station,51.556688476264430000,-.178219762924764630,tfl,2|3,Hampstead Station [32 mins]
Hanger Lane Station,51.530006403588040000,-.293007522620696200,tfl,3,Hanger Lane Station [39 mins]
Hatton Cross Station,51.466614173462760000,-.423409349454662700,tfl,5|6,Hatton Cross Station [43 mins]
Heathrow Terminal 4 Station,51.458553104092005000,-.446058766977937300,tfl,6,Heathrow Terminal 4 Station [55 mins]
Hendon Central Station,51.583293830072000000,-.226496207803293200,tfl,3|4,Hendon Central Station [43 mins]
High Barnet Station,51.650601170588565000,-.194751021947520400,tfl,5,High Barnet Station [50 mins]
Highgate Station,51.577597829618790000,-.146638422561128380,tfl,3,Highgate Station [35 mins]
Hillingdon Station,51.553716844570935000,-.449926295661858930,tfl,6,Hillingdon Station [53 mins]
Hounslow Central Station,51.471083300365436000,-.366922420319065300,tfl,4,Hounslow Central Station [36 mins]
Hounslow East Station,51.473170615833226000,-.356695318244920060,tfl,4,Hounslow East Station [35 mins]
Hounslow West Station,51.473034798965720000,-.385731868407531600,tfl,5,Hounslow West Station [39 mins]
Ickenham Station,51.561984742559240000,-.442026555689012170,tfl,6,Ickenham Station [52 mins]
Kingsbury Station,51.584756866190325000,-.278799057434066500,tfl,4,Kingsbury Station [44 mins]
Leyton Station,51.556432927054910000,-.005619879781309080,tfl,3,Leyton Station [42 mins]
Leytonstone Station,51.568185263674590000,.008215047486340644,tfl,3|4,Leytonstone Station [43 mins]
Loughton Station,51.641512759080584000,.055311997154570370,tfl,6,Loughton Station [55 mins]
Manor House Station,51.570756005284366000,-.095712466704881360,tfl,2|3,Manor House Station [36 mins]
Mill Hill East Station,51.608258895239280000,-.209894419946043500,tfl,4,Mill Hill East Station [42 mins]
Moor Park Station,51.629731090477620000,-.432666848603920740,tfl,6|7,Moor Park Station [50 mins]
Morden Station,51.402336940766870000,-.194790700834515200,tfl,4,Morden Station [45 mins]
Neasden Station,51.553965717461770000,-.249782872822431580,tfl,3,Neasden Station [36 mins]
